Molecule ChEMBL ID,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Assay ChEMBL ID,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,IC50_nM,pIC50,Smiles
CHEMBL4091434,IC50,'=',0.5,nM,9.3,CHEMBL4015944,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4014327,0.5,9.3,CC[C@@H]1CC(=O)N[C@@H]1COc1nccc2cc(C(N)=O)c(OC)cc12
CHEMBL3634381,IC50,'=',0.5,nM,9.3,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.5,9.3,Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C(F)F)n1
CHEMBL3590516,IC50,'=',0.5,nM,9.3,CHEMBL3592269,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3588771,0.5,9.3,Cn1cc(NC(=O)c2cnn3ccc(N4C[C@H](N)C[C@@H](F)C4)nc23)c(C(F)(F)F)n1
CHEMBL4791626,IC50,'=',0.55,nM,9.26,CHEMBL4678083,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4673322,0.55,9.26,CN(C)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1
CHEMBL5193253,IC50,'=',0.6,nM,9.22,CHEMBL5122777,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5120828,0.6,9.22,CN1CC[C@H](n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)[C@H](F)C1
CHEMBL5200601,IC50,'=',0.6,nM,9.22,CHEMBL5122777,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5120828,0.6,9.22,C[C@H]1C[C@@H](n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CCN1C
CHEMBL5283628,IC50,'=',0.6,nM,9.22,CHEMBL5246637,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5244269,0.6,9.22,CN1CCC(n2cc(Nc3nc(OC4(C)CC4)c4nc(-c5cncnc5)ccc4n3)cn2)CC1
CHEMBL5270030,IC50,'=',0.6,nM,9.22,CHEMBL5246637,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5244269,0.6,9.22,Cc1ncc(-c2nc3c(NC4(C)CC4)nc(Nc4cnn(C5CC6(C5)CN(C)C6)c4)nc3cc2F)cn1
CHEMBL4085199,IC50,'=',0.6,nM,9.22,CHEMBL4015944,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4014327,0.6,9.22,COc1cc2c(OC[C@H]3NC(=O)[C@@]4(F)[C@@H]3[C@@H]4C)nccc2cc1C(N)=O
CHEMBL5282803,IC50,'=',0.7,nM,9.15,CHEMBL5262917,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5260813,0.7,9.15,Cn1cc(NC(=O)c2ccc3cnc(NC4CCCCC4N)nn23)c(C(N)=O)n1.O=C(O)C(F)(F)F
CHEMBL3634615,IC50,'=',0.7,nM,9.15,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.7,9.15,Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C#N)n1
CHEMBL3634511,IC50,'=',0.7,nM,9.15,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.7,9.15,Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCCNC4)nn23)c(C(F)F)n1
CHEMBL3601192,IC50,'=',0.74,nM,9.13,CHEMBL3603417,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3600286,0.74,9.13,Cc1cc(Nc2ncc(-c3ccc4ccccc4n3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)cc(C)n1
CHEMBL5201376,IC50,'=',0.8,nM,9.1,CHEMBL5122777,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5120828,0.8,9.1,CN(C)C(=O)CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1
CHEMBL5176837,IC50,'=',0.8,nM,9.1,CHEMBL5150846,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5149977,0.8,9.1,COc1cc2ncc(-c3cccc(NC4CCNC4)n3)n2cc1-c1cnn(C)c1
CHEMBL3634505,IC50,'=',0.8,nM,9.1,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.8,9.1,Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCNC4)nc23)c(C(F)(F)F)n1
CHEMBL3590477,IC50,'=',0.8,nM,9.1,CHEMBL3592269,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3588771,0.8,9.1,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C#N)n1
CHEMBL4113747,IC50,'=',0.9,nM,9.05,CHEMBL3887118,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3886172,0.9,9.05,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(S(C)(=O)=O)c1
CHEMBL3634508,IC50,'=',0.9,nM,9.05,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.9,9.05,Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCNC4)nn23)c(C(F)F)n1
CHEMBL3634513,IC50,'=',1,nM,9,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,1,9,Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCC[C@@H]4N)nn23)c(Cl)n1
CHEMBL4106613,IC50,'=',1,nM,9,CHEMBL3887118,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3886172,1,9,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1COC1
CHEMBL3634507,IC50,'=',1,nM,9,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,1,9,Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCNC4)nn23)c(C(F)F)n1
CHEMBL5281595,IC50,'=',1,nM,9,CHEMBL5246637,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5244269,1,9,CN1CCC(n2cc(Nc3nc(OC4(C)CC4)c4nc(-c5ccnnc5)ccc4n3)cn2)CC1
CHEMBL5266861,IC50,'=',1,nM,9,CHEMBL5262917,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5260813,1,9,CCn1cc(NC(=O)c2ccc3cnc(NC4CCCCC4N)nn23)c(C(N)=O)n1.O=C(O)C(F)(F)F
CHEMBL3634514,IC50,'=',1,nM,9,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,1,9,Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCC[C@@H]4N)nn23)c(Cl)n1
CHEMBL3634504,IC50,'=',1,nM,9,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,1,9,Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCNC4)nn23)c(C(F)(F)F)n1
CHEMBL3634614,IC50,'=',1,nM,9,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,1,9,Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C#N)n1
CHEMBL401633,IC50,'=',1,nM,9,CHEMBL921622,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1145577,1,9,Clc1ccc2ncc(-c3cccc(NC4CCNC4)n3)n2c1
CHEMBL3353219,IC50,'=',1,nM,9,CHEMBL3887963,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3886519,1,9,NCC1CCN(c2ccc(Cl)cc2NC(=O)c2cnn3cc(O)cnc23)CC1
CHEMBL4112434,IC50,'=',1,nM,9,CHEMBL3887118,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3886172,1,9,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCC(F)C1
CHEMBL5209502,IC50,'=',1,nM,9,CHEMBL5122777,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5120828,1,9,CN1CC[C@H](n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)[C@@H](F)C1
CHEMBL4106870,IC50,'=',1,nM,9,CHEMBL3887118,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3886172,1,9,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCOCC1
CHEMBL256570,IC50,'=',1,nM,9,CHEMBL921622,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1145577,1,9,Clc1ccc2ncc(-c3cccc(NC4CCNCC4)n3)n2c1
CHEMBL5193024,IC50,'=',1,nM,9,CHEMBL5122777,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5120828,1,9,CN1CC2(CC(n3cc(Nc4nc(NC5(C)CC5)c5c(=O)n(C)ccc5n4)cn3)C2)C1
CHEMBL3634382,IC50,'=',1,nM,9,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,1,9,Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C(F)F)n1
CHEMBL5193053,IC50,'=',1,nM,9,CHEMBL5122777,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5120828,1,9,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(-c5cnn[nH]5)ccc4n3)cn2)CC1
CHEMBL3590493,IC50,'=',1,nM,9,CHEMBL3592269,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3588771,1,9,Cn1cc(NC(=O)c2cnn3ccc(N4C[C@H](N)CC(F)(F)C4)nc23)c(C(F)(F)F)n1
CHEMBL4106804,IC50,'=',1,nM,9,CHEMBL3887118,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3886172,1,9,CC(C)(C)Nc1cc(-n2ncc3cc(C#N)c(N)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O
CHEMBL4539647,IC50,'=',1,nM,9,CHEMBL4323523,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4321825,1,9,CC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C#N)cc34)CC2)CC1
CHEMBL3590488,IC50,'=',1,nM,9,CHEMBL3592269,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3588771,1,9,Cn1cc(NC(=O)c2cnn3ccc(N4CCNCC4)nc23)c(C(F)F)n1
CHEMBL4439748,IC50,'=',1,nM,9,CHEMBL4323523,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4321825,1,9,COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C#N)cc34)CC2)CC1
CHEMBL4108575,IC50,'=',1,nM,9,CHEMBL3887118,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3886172,1,9,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCC1
CHEMBL5174529,IC50,'=',1,nM,9,CHEMBL5122777,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5120828,1,9,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1
CHEMBL5200432,IC50,'=',1,nM,9,CHEMBL5122777,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5120828,1,9,CN(C)CC(=O)N1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1
CHEMBL5288696,IC50,'=',1,nM,9,CHEMBL5246637,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5244269,1,9,CN1CCC(n2cc(Nc3nc(OC4(C)CC4)c4nc(-c5cccnc5)ccc4n3)cn2)CC1
CHEMBL3634380,IC50,'=',1,nM,9,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,1,9,Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)(F)F)n1
CHEMBL5290090,IC50,'=',1,nM,9,CHEMBL5246637,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5244269,1,9,CN1CCC(n2cc(Nc3nc(OC4(C)CC4)c4nc(-c5cncnc5)c(F)cc4n3)cn2)CC1
CHEMBL3902828,IC50,'=',1.1,nM,8.96,CHEMBL3887118,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3886172,1.1,8.96,CNC(=O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ccc4cc(C#N)cnc43)cc2NC(C)C)CC1
CHEMBL4112384,IC50,'=',1.1,nM,8.96,CHEMBL3887118,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3886172,1.1,8.96,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cc(C2CC2)n[nH]1
